model,year,mileage,image,color,cost
2019 Chrysler Pacifica,2019,"7,550 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/634/7/82184317.jpg?w=197&h=148&q=85&mode=1,Silver,"$28,990"
2019 Chrysler Pacifica,2019,"6,169 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/802/6/bd3869f2.jpg?w=197&h=148&q=85&mode=1,Black,"$29,990"
2019 Chrysler Pacifica,2019,"26,231 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/601/0/6fd298b4.jpg?w=197&h=148&q=85&mode=1,Gray,"$31,990"
2019 Chrysler Pacifica,2019,"15,687 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/600/7/b84c0168.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,990"
2019 Chrysler Pacifica Hybrid,2019,"6,818 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/623/1/6b96613d.jpg?w=197&h=148&q=85&mode=1,Blue,"$38,990"
2018 Chrysler 300,2018,"21,056 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/695/356/1/7ce284e6.jpg?w=197&h=148&q=85&mode=1,White,"$20,990"
2018 Chrysler 300,2018,"30,386 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/424/181/8/f201dc31.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,590"
2018 Chrysler Pacifica,2018,"56,053 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/408/7/b25d3203.jpg?w=197&h=148&q=85&mode=1,Silver,"$21,590"
2018 Chrysler Pacifica,2018,"49,494 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/474/748/0/31d2462f.jpg?w=197&h=148&q=85&mode=1,Silver,"$21,990"
2018 Chrysler Pacifica,2018,"12,841 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/574/410/6/17495796.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$22,590"
2018 Chrysler Pacifica,2018,"39,019 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/596/879/8/ab0169ad.jpg?w=197&h=148&q=85&mode=1,Silver,"$22,990"
2018 Chrysler Pacifica,2018,"40,386 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/663/3/b90fcc4e.jpg?w=197&h=148&q=85&mode=1,Silver,"$22,990"
2018 Chrysler Pacifica,2018,"49,087 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/645/8/db132724.jpg?w=197&h=148&q=85&mode=1,Silver,"$22,990"
2018 Chrysler 300,2018,"14,705 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/140/0/cc044663.jpg?w=197&h=148&q=85&mode=1,Gray,"$23,590"
2018 Chrysler Pacifica,2018,"37,009 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/712/813/0/58545ebd.jpg?w=197&h=148&q=85&mode=1,Gray,"$23,990"
2018 Chrysler Pacifica,2018,"28,476 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/487/895/3/8e09ee64.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$24,990"
2018 Chrysler Pacifica,2018,"31,303 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/908/7/8d44c7ae.jpg?w=197&h=148&q=85&mode=1,Gray,"$24,990"
2018 Chrysler Pacifica,2018,"47,997 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/407/5/3d7a91c5.jpg?w=197&h=148&q=85&mode=1,Gray,"$24,990"
2018 Chrysler Pacifica,2018,"16,771 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/356/286/4/66e2f8e0.jpg?w=197&h=148&q=85&mode=1,Blue,"$26,590"
2018 Chrysler Pacifica Hybrid,2018,"36,269 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/775/144/9/18097061.jpg?w=197&h=148&q=85&mode=1,Gray,"$26,590"
2018 Chrysler Pacifica,2018,"16,089 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/103/1/b1493d2c.jpg?w=197&h=148&q=85&mode=1,Beige,"$26,990"
2018 Chrysler Pacifica,2018,"16,574 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/344/978/6/a6eebefd.jpg?w=197&h=148&q=85&mode=1,Gray,"$26,990"
2018 Chrysler 300,2018,"38,194 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/587/9/e43d1c2c.jpg?w=197&h=148&q=85&mode=1,White,"$26,990"
2018 Chrysler Pacifica,2018,"54,741 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/712/838/1/11098dfd.jpg?w=197&h=148&q=85&mode=1,Gray,"$26,990"
2018 Chrysler Pacifica,2018,"41,695 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/040/2/e2101742.jpg?w=197&h=148&q=85&mode=1,White,"$27,990"
2018 Chrysler Pacifica,2018,"12,834 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/071/1/e4044569.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$30,590"
2018 Chrysler Pacifica,2018,"26,091 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/574/393/1/ec01bfb9.jpg?w=197&h=148&q=85&mode=1,Silver,"$30,590"
2017 Chrysler 200,2017,"71,438 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/099/4/a9eb1850.jpg?w=197&h=148&q=85&mode=1,Gray,"$13,990"
2017 Chrysler Pacifica,2017,"75,945 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/119/8/5f2da9b9.jpg?w=197&h=148&q=85&mode=1,Blue,"$18,590"
2017 Chrysler Pacifica,2017,"79,516 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/441/090/0/521e9bab.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$18,590"
2017 Chrysler Pacifica,2017,"53,414 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/117/3/44fe9379.jpg?w=197&h=148&q=85&mode=1,Gray,"$19,590"
2017 Chrysler Pacifica,2017,"60,319 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/521/595/3/df3e6cc9.jpg?w=197&h=148&q=85&mode=1,Gray,"$19,990"
2017 Chrysler Pacifica,2017,"71,496 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/389/0/6e1ec691.jpg?w=197&h=148&q=85&mode=1,Gray,"$19,990"
2017 Chrysler Pacifica,2017,"41,144 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/709/728/2/357d0df2.jpg?w=197&h=148&q=85&mode=1,Gray,"$20,590"
2017 Chrysler Pacifica,2017,"29,406 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/110/4/6b48d69b.jpg?w=197&h=148&q=85&mode=1,Silver,"$20,990"
2017 Chrysler Pacifica,2017,"31,730 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/725/018/5/eac88c60.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$20,990"
2017 Chrysler 300,2017,"81,337 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/657/5/aef8a518.jpg?w=197&h=148&q=85&mode=1,Black,"$20,990"
