model,year,mileage,image,color,cost
2017 Kia Optima Hybrid,2017,"34,212 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/596/867/2/fe266382.jpg?w=197&h=148&q=85&mode=1,Black,"$18,590"
2017 Kia Sorento,2017,"39,242 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/924/9/4be204b8.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$18,590"
2017 Kia Sorento,2017,"14,868 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/163/0/45004c62.jpg?w=197&h=148&q=85&mode=1,Silver,"$18,990"
2017 Kia Cadenza,2017,"35,160 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/078/5/81bbdd7b.jpg?w=197&h=148&q=85&mode=1,Silver,"$18,990"
2017 Kia Sorento,2017,"19,177 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/553/2/40dd3995.jpg?w=197&h=148&q=85&mode=1,Red,"$19,590"
2017 Kia Sorento,2017,"20,719 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/143/3/696999fc.jpg?w=197&h=148&q=85&mode=1,Silver,"$19,590"
2017 Kia Sorento,2017,"27,570 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/695/342/7/66e278ba.jpg?w=197&h=148&q=85&mode=1,Red,"$19,590"
2017 Kia Optima,2017,"15,976 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/866/517/0/3d29c700.jpg?w=197&h=148&q=85&mode=1,Blue,"$19,990"
2017 Kia Sportage,2017,"32,558 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/612/6/5cc425dc.jpg?w=197&h=148&q=85&mode=1,Beige,"$19,990"
2017 Kia Sportage,2017,"34,390 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/712/826/3/12b73b08.jpg?w=197&h=148&q=85&mode=1,White,"$19,990"
2017 Kia Sportage,2017,"22,616 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/702/1/15ff2bc0.jpg?w=197&h=148&q=85&mode=1,Brown,"$20,990"
2017 Kia Sportage,2017,"5,540 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/981/5/767724e0.jpg?w=197&h=148&q=85&mode=1,Blue,"$22,990"
2017 Kia Sportage,2017,"21,360 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/027/0/b16fce93.jpg?w=197&h=148&q=85&mode=1,Black,"$23,590"
2017 Kia Sorento,2017,"22,224 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/642/4/e5c28e5a.jpg?w=197&h=148&q=85&mode=1,White,"$27,990"
2016 Kia Soul,2016,"60,000 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/423/6/7dabd2a8.jpg?w=197&h=148&q=85&mode=1,Silver,"$11,590"
2016 Kia Soul,2016,"66,776 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/220/6/86c0a575.jpg?w=197&h=148&q=85&mode=1,Black,"$11,990"
2016 Kia Soul,2016,"40,001 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/563/5/1be75589.jpg?w=197&h=148&q=85&mode=1,Black,"$12,590"
2016 Kia Forte,2016,"41,298 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/959/3/19ed3259.jpg?w=197&h=148&q=85&mode=1,Silver,"$12,590"
2016 Kia Optima,2016,"100,633 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/709/725/0/b1c312ad.jpg?w=197&h=148&q=85&mode=1,Silver,"$12,590"
2016 Kia Soul,2016,"38,765 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/617/5/b6cdcc6e.jpg?w=197&h=148&q=85&mode=1,Gray,"$12,990"
2016 Kia Soul,2016,"41,440 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/666/363/8/7c76ac03.jpg?w=197&h=148&q=85&mode=1,Black,"$12,990"
2016 Kia Optima,2016,"43,052 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/102/2/5d90ea21.jpg?w=197&h=148&q=85&mode=1,White,"$12,990"
2016 Kia Forte Koup,2016,"43,643 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/249/727/6/881f87a1.jpg?w=197&h=148&q=85&mode=1,White,"$12,990"
2016 Kia Soul,2016,"75,889 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/646/2/508bc58f.jpg?w=197&h=148&q=85&mode=1,White,"$12,990"
2016 Kia Soul,2016,"81,395 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/775/136/6/7e27cb44.jpg?w=197&h=148&q=85&mode=1,Red,"$12,990"
2016 Kia Soul,2016,"85,771 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/514/533/9/fc53433c.jpg?w=197&h=148&q=85&mode=1,Black,"$12,990"
2016 Kia Optima,2016,"89,063 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/143/8/ad53055d.jpg?w=197&h=148&q=85&mode=1,White,"$12,990"
2016 Kia Forte,2016,"26,663 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/564/4/8d93db42.jpg?w=197&h=148&q=85&mode=1,Silver,"$13,590"
2016 Kia Soul,2016,"67,884 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/567/2/6f8119c6.jpg?w=197&h=148&q=85&mode=1,Silver,"$13,590"
2016 Kia Forte5,2016,"52,691 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/115/5/b31e84c8.jpg?w=197&h=148&q=85&mode=1,Black,"$13,990"
2016 Kia Forte,2016,"64,407 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/775/120/3/febfce32.jpg?w=197&h=148&q=85&mode=1,Silver,"$13,990"
2016 Kia Optima,2016,"28,238 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/056/2/3789c2ef.jpg?w=197&h=148&q=85&mode=1,Purple,"$14,590"
2016 Kia Soul,2016,"22,951 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/973/0/52d64c69.jpg?w=197&h=148&q=85&mode=1,Red,"$14,990"
2016 Kia Soul,2016,"27,834 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/514/604/3/2faa1f3e.jpg?w=197&h=148&q=85&mode=1,Green,"$14,990"
2016 Kia Forte5,2016,"44,508 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/072/3/e3dcf0d2.jpg?w=197&h=148&q=85&mode=1,Blue,"$14,990"
2016 Kia Forte Koup,2016,"9,234 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/384/418/1/d71d4b74.jpg?w=197&h=148&q=85&mode=1,Black,"$15,590"
2016 Kia Soul,2016,"22,750 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/661/5/fe46539b.jpg?w=197&h=148&q=85&mode=1,Blue,"$15,590"
2016 Kia Soul,2016,"43,476 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/120/2/cf329d6c.jpg?w=197&h=148&q=85&mode=1,Black,"$15,590"
2016 Kia Optima,2016,"17,565 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/114/976/0/1ae427fa.jpg?w=197&h=148&q=85&mode=1,White,"$16,590"
2016 Kia Optima,2016,"13,703 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/114/799/2/64caeabf.jpg?w=197&h=148&q=85&mode=1,Black,"$16,990"
2016 Kia Sorento,2016,"34,667 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/050/6/941c30b6.jpg?w=197&h=148&q=85&mode=1,Black,"$17,590"
2016 Kia Sorento,2016,"43,049 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/792/407/8/01c230eb.jpg?w=197&h=148&q=85&mode=1,Black,"$17,590"
2016 Kia Sorento,2016,"48,357 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/090/3/4aac7509.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$17,990"
2016 Kia Optima,2016,"40,023 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/305/542/6/b5999b34.jpg?w=197&h=148&q=85&mode=1,Black,"$18,590"
2016 Kia Optima,2016,"69,980 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/961/4/1c7c46f9.jpg?w=197&h=148&q=85&mode=1,White,"$18,990"
2016 Kia Cadenza,2016,"29,620 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/160/4/c9e2e7d8.jpg?w=197&h=148&q=85&mode=1,Silver,"$19,590"
2016 Kia Optima,2016,"49,293 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/056/5/2197e654.jpg?w=197&h=148&q=85&mode=1,White,"$20,590"
2016 Kia Optima,2016,"33,780 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/686/6/2a8a0e35.jpg?w=197&h=148&q=85&mode=1,White,"$20,990"
2016 Kia Sorento,2016,"64,252 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/137/3/ad734c40.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,990"
2016 Kia Sedona,2016,"24,262 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/689/1/5090b1d1.jpg?w=197&h=148&q=85&mode=1,Blue,"$23,590"
2015 Kia Soul,2015,"77,646 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/818/990/4/97d536bb.jpg?w=197&h=148&q=85&mode=1,Silver,"$10,990"
2015 Kia Forte,2015,"71,970 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/652/1/6b60cf34.jpg?w=197&h=148&q=85&mode=1,White,"$11,590"
2015 Kia Soul,2015,"76,680 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/947/9/19a6ac36.jpg?w=197&h=148&q=85&mode=1,Gray,"$11,990"
2015 Kia Forte Koup,2015,"40,697 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/143/691/7/dcc57711.jpg?w=197&h=148&q=85&mode=1,Gray,"$12,590"
2015 Kia Soul,2015,"100,115 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/487/913/9/8a51ab79.jpg?w=197&h=148&q=85&mode=1,Black,"$12,590"
2015 Kia Optima,2015,"44,469 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/636/5/e640bdae.jpg?w=197&h=148&q=85&mode=1,Gray,"$12,990"
2015 Kia Soul,2015,"67,812 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/121/6/9f8cf2f7.jpg?w=197&h=148&q=85&mode=1,Black,"$12,990"
2015 Kia Soul EV,2015,"49,076 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/560/0/043adf13.jpg?w=197&h=148&q=85&mode=1,Blue,"$13,590"
2015 Kia Optima,2015,"75,552 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/236/015/0/6f4dd031.jpg?w=197&h=148&q=85&mode=1,White,"$13,590"
2015 Kia Forte Koup,2015,"27,888 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/068/6/bbf4e3b3.jpg?w=197&h=148&q=85&mode=1,White,"$13,990"
2015 Kia Sorento,2015,"82,301 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/109/0/9ce30364.jpg?w=197&h=148&q=85&mode=1,Gray,"$13,990"
2015 Kia Soul,2015,"41,415 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/870/0/17f64084.jpg?w=197&h=148&q=85&mode=1,White,"$15,590"
2015 Kia Optima,2015,"55,926 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/578/9/76a40f47.jpg?w=197&h=148&q=85&mode=1,Brown,"$15,590"
