model,year,mileage,image,color,cost
2019 Ford F-150,2019,"16,237 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/728/524/3/67af23f1.jpg?w=197&h=148&q=85&mode=1,,"$52,522"
2019 Ford Expedition Max,2019,"40,691 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/620/614/2/74051076.jpg?w=197&h=148&q=85&mode=1,,"$52,890"
2019 Ford F-350,2019,"29,583 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/728/580/6/469e0095.jpg?w=197&h=148&q=85&mode=1,,"$69,800"
2019 Ford F-350,2019,"7,087 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/728/580/7/e0fc4996.jpg?w=197&h=148&q=85&mode=1,,"$72,900"
2018 Ford Escape,2018,"45,630 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/763/845/9/8c2db4f7.jpg?w=197&h=148&q=85&mode=1,,"$14,900"
2018 Ford Escape,2018,"40,634 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/763/845/7/8c5e781c.jpg?w=197&h=148&q=85&mode=1,,"$15,900"
2018 Ford Fusion,2018,"50,897 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/698/649/0/41a6b62d.jpg?w=197&h=148&q=85&mode=1,,"$15,995"
2018 Ford Focus,2018,"16,479 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/241/8/81188db7.jpg?w=197&h=148&q=85&mode=1,,"$16,500"
2018 Ford EcoSport,2018,138 miles,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/591/441/3/b0f32a10.jpg?w=197&h=148&q=85&mode=1,,"$16,995"
2018 Ford EcoSport,2018,"28,299 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/245/0/75ac2cda.jpg?w=197&h=148&q=85&mode=1,,"$17,000"
2018 Ford EcoSport,2018,"32,910 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/631/4/3a571a06.jpg?w=197&h=148&q=85&mode=1,,"$17,000"
2018 Ford Fusion,2018,"21,695 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/590/808/0/3771e5f8.jpg?w=197&h=148&q=85&mode=1,,"$18,222"
2018 Ford Escape,2018,"25,600 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/590/806/8/b9d6a0cf.jpg?w=197&h=148&q=85&mode=1,,"$18,880"
2018 Ford Fusion,2018,"6,542 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/620/617/5/d95f9e60.jpg?w=197&h=148&q=85&mode=1,,"$18,890"
2018 Ford Escape,2018,"18,812 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/767/068/8/36afa6f4.jpg?w=197&h=148&q=85&mode=1,,"$18,900"
2018 Ford Escape,2018,"18,435 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/242/3/d2b322be.jpg?w=197&h=148&q=85&mode=1,,"$19,500"
2018 Ford Escape,2018,"18,637 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/767/069/0/73da476d.jpg?w=197&h=148&q=85&mode=1,,"$19,800"
2018 Ford Escape,2018,"16,342 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/654/606/9/cc4abac9.jpg?w=197&h=148&q=85&mode=1,,"$19,900"
2018 Ford Escape,2018,"17,331 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/728/580/4/8e957956.jpg?w=197&h=148&q=85&mode=1,,"$19,900"
2018 Ford Escape,2018,"17,370 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/654/606/8/0f2837fe.jpg?w=197&h=148&q=85&mode=1,,"$19,900"
2018 Ford Escape,2018,"17,920 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/590/806/9/08a8f4cb.jpg?w=197&h=148&q=85&mode=1,,"$20,088"
2018 Ford Escape,2018,"34,949 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/630/6/3c7149fe.jpg?w=197&h=148&q=85&mode=1,,"$20,099"
2018 Ford Escape,2018,"25,346 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/767/068/7/c8cd228b.jpg?w=197&h=148&q=85&mode=1,,"$20,500"
2018 Ford Escape,2018,"18,232 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/519/0/b02d622a.jpg?w=197&h=148&q=85&mode=1,,"$21,288"
2018 Ford Fusion,2018,"4,365 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/162/6/8657d1dd.jpg?w=197&h=148&q=85&mode=1,,"$21,690"
2018 Ford Escape,2018,"11,015 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/244/9/aa1e252c.jpg?w=197&h=148&q=85&mode=1,,"$22,999"
2018 Ford Escape,2018,"14,706 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/804/242/4/56a0577a.jpg?w=197&h=148&q=85&mode=1,,"$23,999"
2018 Ford Escape,2018,"19,510 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/590/386/8/014b0bb4.jpg?w=197&h=148&q=85&mode=1,,"$25,280"
2018 Ford Edge,2018,"17,926 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/590/807/7/28078d97.jpg?w=197&h=148&q=85&mode=1,,"$26,588"
2018 Ford Edge,2018,"56,478 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/654/147/6/ce10e9ce.jpg?w=197&h=148&q=85&mode=1,,"$26,690"
