model,year,mileage,image,color,cost
2018 Volvo XC90,2018,"23,343 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/560/895/4/5d7adc61.jpg?w=197&h=148&q=85&mode=1,Black,"$41,205"
2018 Volvo XC90,2018,"28,550 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/387/977/3/9b31746b.jpg?w=197&h=148&q=85&mode=1,White,"$41,693"
2018 Volvo XC90,2018,"22,043 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/216/104/8/2321348b.jpg?w=197&h=148&q=85&mode=1,Silver,"$42,583"
2018 Volvo XC60,2018,"11,710 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/685/2/ed0cb408.jpg?w=197&h=148&q=85&mode=1,Black,"$42,897"
2017 Volvo S60 Inscription,2017,"34,883 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/566/030/4/250d943b.jpg?w=197&h=148&q=85&mode=1,White,"$17,982"
2017 Volvo XC60,2017,"49,359 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/873/3/a3e3729a.jpg?w=197&h=148&q=85&mode=1,Black,"$23,392"
2017 Volvo S60,2017,"62,869 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/000/619/4/a36c9b46.jpg?w=197&h=148&q=85&mode=1,Blue,"$23,716"
2017 Volvo XC60,2017,"41,437 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/042/0/075359c3.jpg?w=197&h=148&q=85&mode=1,White,"$24,995"
2017 Volvo S90,2017,"50,638 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/592/618/5/f45f16dc.jpg?w=197&h=148&q=85&mode=1,Black,"$25,782"
2017 Volvo S90,2017,"62,450 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/082/840/1/579311c4.jpg?w=197&h=148&q=85&mode=1,Blue,"$25,838"
2017 Volvo S90,2017,"30,213 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/105/7/a067ea85.jpg?w=197&h=148&q=85&mode=1,Black,"$26,985"
2017 Volvo S90,2017,"31,985 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/627/6/8f97015b.jpg?w=197&h=148&q=85&mode=1,Blue,"$26,999"
2017 Volvo S90,2017,"35,226 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/532/4/b7079725.jpg?w=197&h=148&q=85&mode=1,Black,"$27,298"
2017 Volvo S90,2017,"40,959 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/684/8/841c72ba.jpg?w=197&h=148&q=85&mode=1,White,"$27,319"
2017 Volvo S90,2017,"37,348 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/107/694/9/ba27333b.jpg?w=197&h=148&q=85&mode=1,Black,"$27,498"
2017 Volvo S90,2017,"32,114 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/387/978/1/a21b4a44.jpg?w=197&h=148&q=85&mode=1,Gray,"$27,593"
2017 Volvo S90,2017,"26,782 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/367/9/33805b00.jpg?w=197&h=148&q=85&mode=1,Black,"$27,674"
2017 Volvo S90,2017,"26,953 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/645/219/7/fe36a221.jpg?w=197&h=148&q=85&mode=1,Black,"$27,695"
2017 Volvo S90,2017,"15,192 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/325/120/7/ae9de896.jpg?w=197&h=148&q=85&mode=1,Gray,"$27,892"
2017 Volvo S90,2017,"31,405 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/684/7/9e4a2c09.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,973"
2017 Volvo S90,2017,"28,476 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/645/500/5/b56ce5d4.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,981"
2017 Volvo S90,2017,"32,235 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/596/278/4/00de8b01.jpg?w=197&h=148&q=85&mode=1,White,"$27,981"
2017 Volvo S90,2017,"32,455 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/649/027/4/422fd3e9.jpg?w=197&h=148&q=85&mode=1,Blue,"$27,981"
2017 Volvo S90,2017,"35,891 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/326/0/ae0f0e91.jpg?w=197&h=148&q=85&mode=1,Silver,"$27,981"
2017 Volvo S90,2017,"42,045 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/563/060/2/55096e94.jpg?w=197&h=148&q=85&mode=1,Blue,"$28,981"
2017 Volvo S90,2017,"43,621 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/773/4/e0c8d99d.jpg?w=197&h=148&q=85&mode=1,White,"$30,000"
2017 Volvo S90,2017,"29,477 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/967/7/81bedb92.jpg?w=197&h=148&q=85&mode=1,White,"$31,382"
2017 Volvo S90,2017,"19,034 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/560/255/5/4624a42e.jpg?w=197&h=148&q=85&mode=1,Silver,"$31,973"
2017 Volvo XC90,2017,"44,380 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/698/0/b2a32421.jpg?w=197&h=148&q=85&mode=1,Black,"$35,773"
2017 Volvo V90 Cross Country,2017,"28,288 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/773/2/5d2ba66b.jpg?w=197&h=148&q=85&mode=1,Brown,"$36,242"
2017 Volvo XC90,2017,"48,314 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/154/417/8/d1762352.jpg?w=197&h=148&q=85&mode=1,White,"$36,498"
2017 Volvo S90,2017,"1,321 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/661/572/9/9d62bd5c.jpg?w=197&h=148&q=85&mode=1,Gray,"$36,792"
2017 Volvo XC90,2017,"32,652 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/575/3/5ac1bd7d.jpg?w=197&h=148&q=85&mode=1,Black,"$37,472"
2017 Volvo XC90,2017,"31,402 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/716/967/3/0cda2d0b.jpg?w=197&h=148&q=85&mode=1,Black,"$37,474"
2017 Volvo XC90,2017,"39,684 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/389/684/9/fded0e6a.jpg?w=197&h=148&q=85&mode=1,Gray,"$37,594"
2017 Volvo XC90,2017,"32,248 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/578/0/232c469a.jpg?w=197&h=148&q=85&mode=1,White,"$37,673"
2017 Volvo XC90,2017,"16,642 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/759/293/0/922152f6.jpg?w=197&h=148&q=85&mode=1,Black,"$37,696"
2017 Volvo XC90,2017,"26,207 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/728/9/03b90383.jpg?w=197&h=148&q=85&mode=1,Silver,"$37,789"
2017 Volvo XC90,2017,"30,771 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/967/6/26aeddcf.jpg?w=197&h=148&q=85&mode=1,Gray,"$38,981"
2015 Volvo XC60,2015,"78,840 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/785/847/1/9621e048.jpg?w=197&h=148&q=85&mode=1,Silver,"$17,939"
2012 Volvo XC60,2012,"111,070 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/511/367/9/043aa542.jpg?w=197&h=148&q=85&mode=1,Silver,"$12,995"
2011 Volvo C70,2011,"140,420 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/421/5/9d017804.jpg?w=197&h=148&q=85&mode=1,Black,"$6,995"
2011 Volvo XC90,2011,"123,995 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/630/416/9/70d462f1.jpg?w=197&h=148&q=85&mode=1,Gray,"$9,991"
2009 Volvo S80,2009,"100,476 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/547/403/0/a6a0f544.jpg?w=197&h=148&q=85&mode=1,Gray,"$7,999"
2005 Volvo S60,2005,N/A,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/714/0/ef48cf26.jpg?w=197&h=148&q=85&mode=1,Red,"$3,995"
2018 Volvo S90,2018,"25,201 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/636/2/123b7f53.jpg?w=197&h=148&q=85&mode=1,Black,"$27,667"
2017 Volvo XC90,2017,"53,169 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/716/989/1/e5a5fe4d.jpg?w=197&h=148&q=85&mode=1,Blue,"$28,948"
2014 Volvo S60,2014,"97,623 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/092/4/62fbfd38.jpg?w=197&h=148&q=85&mode=1,Black,"$29,492"
2008 Volvo XC90,2008,N/A,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/397/783/2/da8cc378.jpg?w=197&h=148&q=85&mode=1,Gray,"$35,481"
2004 Volvo XC90,2004,N/A,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/562/000/2/9d709c39.jpg?w=197&h=148&q=85&mode=1,White,"$26,791"
2018 Volvo S90,2018,"37,664 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,"$38,793"
2018 Volvo S90,2018,"27,234 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,Gray,"$41,792"
2018 Volvo S90,2018,"18,498 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,"$32,792"
2018 Volvo XC60,2018,"33,202 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,Blue,
2017 Volvo S90,2017,"35,050 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,
2017 Volvo XC90,2017,"23,801 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,Blue,
2017 Volvo XC90,2017,"34,428 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,
2016 Volvo XC90,2016,"59,142 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,,
2017 Volvo XC60,2017,"21,048 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,"$28,990"
2017 Volvo S60,2017,"23,371 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,Red,"$30,990"
2017 Volvo XC60,2017,"24,781 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,Silver,"$31,590"
2017 Volvo S60,2017,"29,544 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/volvo.png,White,"$48,990"
2020 Volvo S60,2020,"18,099 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/474/784/6/aeb42519.jpg?w=197&h=148&q=85&mode=1,Silver,"$27,990"
2020 Volvo S60,2020,"13,668 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/487/914/4/60d73723.jpg?w=197&h=148&q=85&mode=1,Black,"$28,590"
2020 Volvo S60,2020,"11,852 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/410/854/6/6306a538.jpg?w=197&h=148&q=85&mode=1,Blue,"$28,990"
2020 Volvo XC90,2020,"12,997 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/047/7/216b0c01.jpg?w=197&h=148&q=85&mode=1,Gray,"$29,590"
2019 Volvo S60,2019,"15,395 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/235/874/6/87fcbcab.jpg?w=197&h=148&q=85&mode=1,Silver,"$29,590"
2019 Volvo S60,2019,"13,224 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/585/0/74722fed.jpg?w=197&h=148&q=85&mode=1,Silver,"$30,990"
2019 Volvo S60,2019,"12,307 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/724/950/7/7964ba05.jpg?w=197&h=148&q=85&mode=1,Gray,"$31,990"
2019 Volvo S60,2019,"17,693 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/800/644/9/e51cf129.jpg?w=197&h=148&q=85&mode=1,White,"$31,990"
2019 Volvo S60,2019,"60,548 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/775/164/5/22fe79ed.jpg?w=197&h=148&q=85&mode=1,Black,"$31,990"
2019 Volvo S60,2019,"10,305 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/410/899/7/44ad0f60.jpg?w=197&h=148&q=85&mode=1,Black,"$32,590"
2019 Volvo S60,2019,"9,964 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/437/321/6/bb2333b9.jpg?w=197&h=148&q=85&mode=1,Black,"$32,990"
2019 Volvo S60,2019,"11,789 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/611/918/3/0287278b.jpg?w=197&h=148&q=85&mode=1,Red,"$32,990"
2019 Volvo XC40,2019,"18,149 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/819/048/5/8d215e0b.jpg?w=197&h=148&q=85&mode=1,White,"$32,990"
2019 Volvo S60,2019,"8,390 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/222/760/5/ff91fda9.jpg?w=197&h=148&q=85&mode=1,Black,"$32,990"
2019 Volvo S60,2019,"10,993 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/222/760/6/f7627f91.jpg?w=197&h=148&q=85&mode=1,Red,"$33,590"
2019 Volvo S60,2019,"13,781 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/441/125/6/821c8dae.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,990"
2019 Volvo S60,2019,"17,164 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/305/529/3/77bae700.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,990"
2019 Volvo XC40,2019,"41,675 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/759/676/0/b569eccd.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,990"
