model,year,mileage,image,color,cost
2018 Audi Q5,2018,"49,383 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/553/848/7/b6690f16.jpg?w=197&h=148&q=85&mode=1,Blue,"$29,499"
2018 Audi A5,2018,"31,000 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/566/960/3/f386e748.jpg?w=197&h=148&q=85&mode=1,Black,"$29,997"
2018 Audi Q7,2018,"62,067 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/769/8/beb82db6.jpg?w=197&h=148&q=85&mode=1,Black,"$31,995"
2018 Audi Q5,2018,"35,908 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/407/3/ec568cdb.jpg?w=197&h=148&q=85&mode=1,Gray,"$32,533"
2018 Audi SQ5,2018,"52,209 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/737/240/8/a212bf3f.jpg?w=197&h=148&q=85&mode=1,Black,"$40,995"
2017 Audi A3,2017,"35,089 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/553/848/2/86ba5a7f.jpg?w=197&h=148&q=85&mode=1,Gray,"$18,499"
2017 Audi A3,2017,"23,576 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/438/4/f938a052.jpg?w=197&h=148&q=85&mode=1,Black,"$19,995"
2017 Audi A4,2017,"73,029 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/661/646/9/0eda59da.jpg?w=197&h=148&q=85&mode=1,Silver,"$19,995"
2017 Audi A3,2017,"23,905 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/786/338/1/b5d073d7.jpg?w=197&h=148&q=85&mode=1,Black,"$20,377"
2017 Audi Q3,2017,"61,303 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/658/026/0/f9d1bf8d.jpg?w=197&h=148&q=85&mode=1,Black,"$20,480"
2017 Audi Q3,2017,"53,484 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/735/5/55114db6.jpg?w=197&h=148&q=85&mode=1,Black,"$20,980"
2017 Audi Q3,2017,"52,679 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/541/187/5/a2d77fc2.jpg?w=197&h=148&q=85&mode=1,Black,"$20,999"
2017 Audi A4,2017,"43,886 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/540/844/4/aa43bfdb.jpg?w=197&h=148&q=85&mode=1,Red,"$21,995"
2017 Audi A3,2017,"19,676 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/113/1/ae5e954d.jpg?w=197&h=148&q=85&mode=1,Gray,"$22,352"
2017 Audi A4,2017,"34,329 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/393/1/424a7da1.jpg?w=197&h=148&q=85&mode=1,Blue,"$22,526"
2017 Audi Q5,2017,"57,464 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/665/347/2/ec374b90.jpg?w=197&h=148&q=85&mode=1,White,"$22,980"
2017 Audi A4,2017,"60,053 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/771/065/1/e2adfba1.jpg?w=197&h=148&q=85&mode=1,Black,"$22,995"
2017 Audi A4,2017,"43,349 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/670/353/6/32c8eb01.jpg?w=197&h=148&q=85&mode=1,Black,"$23,980"
2017 Audi A4,2017,"42,822 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/771/119/8/7da6614d.jpg?w=197&h=148&q=85&mode=1,Black,"$23,995"
2017 Audi A6,2017,"43,890 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/630/163/8/e75309c3.jpg?w=197&h=148&q=85&mode=1,Blue,"$23,995"
2017 Audi A6,2017,"47,157 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/342/3/f20e7597.jpg?w=197&h=148&q=85&mode=1,Blue,"$23,995"
2017 Audi Q5,2017,"52,501 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/630/122/8/19eb838b.jpg?w=197&h=148&q=85&mode=1,Gray,"$24,799"
2017 Audi A4,2017,"33,588 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/899/8/34ba8417.jpg?w=197&h=148&q=85&mode=1,White,"$24,900"
2017 Audi A4,2017,"36,895 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/630/122/7/ed0b78e2.jpg?w=197&h=148&q=85&mode=1,Black,"$24,995"
2017 Audi A4,2017,"34,205 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/630/166/9/d1d5b44e.jpg?w=197&h=148&q=85&mode=1,Silver,"$26,995"
2017 Audi A6,2017,"32,483 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/126/584/3/066fd9d0.jpg?w=197&h=148&q=85&mode=1,Gray,"$27,995"
2017 Audi A6,2017,"29,318 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/126/744/9/69fb1057.jpg?w=197&h=148&q=85&mode=1,Gray,"$28,995"
2017 Audi Q7,2017,"59,902 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/709/2/c7f8ac92.jpg?w=197&h=148&q=85&mode=1,Blue,"$29,995"
2017 Audi Q7,2017,"57,400 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/363/2/b69a8b98.jpg?w=197&h=148&q=85&mode=1,Black,"$30,995"
2017 Audi Q7,2017,"45,088 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/986/5/a816f6f9.jpg?w=197&h=148&q=85&mode=1,Black,"$31,995"
2017 Audi Q7,2017,"42,364 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/645/3/a56a4977.jpg?w=197&h=148&q=85&mode=1,Gray,"$33,799"
2017 Audi TT,2017,"26,245 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/553/939/1/34746982.jpg?w=197&h=148&q=85&mode=1,White,"$33,998"
2017 Audi Q7,2017,"41,938 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/540/724/8/d7f3b8bc.jpg?w=197&h=148&q=85&mode=1,Black,"$34,567"
2017 Audi Q7,2017,"19,425 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/153/1/7bb569e4.jpg?w=197&h=148&q=85&mode=1,Gray,"$35,299"
2017 Audi A8,2017,"61,416 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/567/968/3/f2b9305e.jpg?w=197&h=148&q=85&mode=1,Black,"$36,995"
2017 Audi Q7,2017,"32,233 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/344/550/0/31a2f107.jpg?w=197&h=148&q=85&mode=1,Black,"$38,995"
2016 Audi A4,2016,"79,459 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/862/7/652653dd.jpg?w=197&h=148&q=85&mode=1,Black,"$15,819"
2016 Audi A3,2016,"47,920 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/558/916/8/28f3bec7.jpg?w=197&h=148&q=85&mode=1,Black,"$17,900"
2016 Audi A4,2016,"68,720 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/661/670/1/753a994a.jpg?w=197&h=148&q=85&mode=1,Black,"$17,980"
2016 Audi A3,2016,"28,454 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/854/565/1/2d6b58b5.jpg?w=197&h=148&q=85&mode=1,Blue,"$18,998"
2016 Audi Q5,2016,"64,207 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/975/7/de91ed83.jpg?w=197&h=148&q=85&mode=1,Black,"$19,996"
2016 Audi Q5,2016,"83,112 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/033/5/0aeecbd4.jpg?w=197&h=148&q=85&mode=1,White,"$20,915"
2015 Audi A3,2015,"48,033 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/661/929/1/aa555c95.jpg?w=197&h=148&q=85&mode=1,Gray,"$15,991"
2015 Audi Q5,2015,"97,059 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/128/786/7/2b799418.jpg?w=197&h=148&q=85&mode=1,Black,"$19,499"
2015 Audi A4,2015,"30,451 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/198/562/336/1/a6aac9b9.jpg?w=197&h=148&q=85&mode=1,Black,"$20,969"
2015 Audi A8,2015,"94,266 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/770/931/1/a3ba7f04.jpg?w=197&h=148&q=85&mode=1,Gray,"$27,762"
2014 Audi Q7,2014,"104,325 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/534/3/6d6a8ccd.jpg?w=197&h=148&q=85&mode=1,Gray,"$17,905"
2014 Audi Q5,2014,"34,037 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/856/9/f987d089.jpg?w=197&h=148&q=85&mode=1,Silver,"$17,980"
2014 Audi A7,2014,"104,336 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/564/643/3/1664a30c.jpg?w=197&h=148&q=85&mode=1,White,"$23,980"
2013 Audi A5,2013,"115,723 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/645/701/3/09992451.jpg?w=197&h=148&q=85&mode=1,Black,"$10,990"
2013 Audi A4,2013,"108,046 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/456/7/a272889b.jpg?w=197&h=148&q=85&mode=1,Gray,"$11,652"
2013 Audi Q5,2013,"76,379 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/557/236/0/5337f5bc.jpg?w=197&h=148&q=85&mode=1,Gray,"$15,480"
2013 Audi Q5,2013,"83,017 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/992/9/27c1340c.jpg?w=197&h=148&q=85&mode=1,Gray,"$15,480"
2013 Audi A6,2013,"88,987 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/680/0/b7398a51.jpg?w=197&h=148&q=85&mode=1,Gray,"$16,764"
2011 Audi Q5,2011,"97,758 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/723/963/5/403c90ea.jpg?w=197&h=148&q=85&mode=1,,"$14,637"
2011 Audi TTS,2011,"36,127 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/566/647/2/34bb7a64.jpg?w=197&h=148&q=85&mode=1,,"$23,980"
2008 Audi A3,2008,"80,000 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/437/772/9/6073bed4.jpg?w=197&h=148&q=85&mode=1,,"$9,500"
2017 Audi Q7,2017,"19,673 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/665/523/1/7ab530e1.jpg?w=197&h=148&q=85&mode=1,,
2017 Audi A3,2017,"45,245 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/814/241/8/b6ff595b.jpg?w=197&h=148&q=85&mode=1,,
2016 Audi Q5,2016,"45,670 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/592/520/2/fee47950.jpg?w=197&h=148&q=85&mode=1,Black,"$30,990"
